Customer Id,Age,Edu,Years Employed,Income,Card Debt,Other Debt,DebtIncomeRatio
79,41,2,21,145,3237,14453,12.2
80,46,2,18,55,419,2001,4.4
81,33,1,12,68,1366,5978,10.8
82,30,3,0,65,3.9,15405,29.7
83,40,3,18,157,3326,7036,6.6
84,38,1,1,42,891,2931,9.1
85,49,2,11,51,543,7107,15
86,26,1,0,15,386,424,5.4
87,22,4,0,25,1491,1559,12.2
88,29,2,2,16,433,1247,10.5
89,28,2,8,31,1492,1.05,8.2
90,23,4,0,32,818,5.07,18.4
91,37,2,11,75,633,1992,3.5
92,35,2,5,33,103,821,2.8
93,31,1,1,21,277,248,2.5
94,29,1,1,20,569,3151,18.6
95,34,3,7,27,125,469,2.2
96,47,2,7,49,254,187,0.9
97,37,1,5,27,419,2119,9.4
98,38,1,10,34,36,372,1.2
99,32,2,5,28,2594,1.55,14.8
100,22,3,0,20,219,721,4.7
101,30,1,7,33,1165,7217,25.4
102,38,4,13,126,7613,9649,13.7
103,36,1,20,60,1056,2184,5.4
104,44,1,5,48,1.97,2.35,9
105,27,2,4,22,1086,1818,13.2
106,47,1,19,50,3176,11874,30.1
107,41,1,7,32,72,856,2.9
108,25,1,8,27,1019,2869,14.4
109,33,2,10,54,0.12,1.5,3
110,42,3,13,82,1315,1391,3.3
111,36,1,14,53,1888,1133,5.7
112,25,4,0,32,2.14,3492,17.6
113,30,1,10,39,2056,1649,9.5
114,24,1,0,16,1009,1551,16
115,32,1,7,23,861,1393,9.8
116,39,2,9,32,1.43,682,6.6
117,30,1,4,18,227,1699,10.7
118,33,1,16,46,2.4,1326,8.1
119,32,2,12,63,5.55,5916,18.2
120,33,1,7,26,543,1017,6
121,29,2,6,21,369,2046,11.5
122,28,2,5,37,1124,1947,8.3
123,33,4,9,32,496,1264,5.5
124,39,2,16,53,694,1267,3.7
125,32,1,10,42,1.54,2282,9.1
126,46,1,9,72,828,2772,5
127,32,2,3,47,429,464,1.9
128,28,2,5,25,339,386,2.9
129,26,1,2,21,1023,3135,19.8
130,27,1,0,16,183,89,1.7
131,35,1,16,36,179,1045,3.4
132,35,1,16,57,1143,4842,10.5
133,31,2,6,25,2332,543,11.5
134,32,3,5,23,326,709,4.5
135,29,1,9,25,1.07,2405,13.9
136,35,4,4,29,1844,1346,11
137,48,2,21,86,146,886,1.2
138,24,1,4,19,1185,905,11
139,44,1,12,31,358,2649,9.7
140,40,2,5,35,1584,4156,16.4
141,36,2,13,41,2918,3806,16.4
142,23,2,0,21,455,1372,8.7
143,26,2,8,40,444,4276,11.8
144,30,1,8,23,762,1998,12
145,34,1,12,68,7817,9251,25.1
146,28,3,2,30,1522,4448,19.9
147,37,1,18,58,2868,3106,10.3
148,46,3,3,43,3042,2634,13.2
149,24,2,1,42,838,1556,5.7
150,25,2,6,26,0.07,1.1,4.5
151,33,1,14,37,199,763,2.6
152,46,1,7,41,585,9009,23.4
153,38,3,4,31,1332,1551,9.3
154,47,1,3,21,68,3166,15.4
155,34,2,9,65,2108,1922,6.2
156,35,1,16,37,4213,2151,17.2
157,39,1,22,113,987,1951,2.6
158,44,1,24,101,2992,2664,5.6
159,28,2,1,24,1338,2766,17.1
160,31,3,9,59,3.11,5504,14.6
161,24,1,1,20,325,495,4.1
162,36,3,13,39,2801,4687,19.2
163,35,2,14,82,468,188,0.8
164,31,1,11,47,2864,2259,10.9
165,28,2,6,22,0.65,1.88,11.5
166,36,4,8,32,25,487,1.6
167,31,3,6,54,402,1.11,2.8
168,30,1,11,27,74,169,0.9
169,26,1,10,24,311,337,2.7
170,48,4,3,45,975,3435,9.8
171,39,2,16,89,5002,7725,14.3
172,31,1,7,20,111,2349,12.3
173,31,3,9,28,122,606,2.6
174,27,3,3,45,292,4658,11
175,31,1,13,27,238,1112,5
176,53,1,0,27,2754,5049,28.9
177,40,1,15,55,856,2169,5.5
178,26,1,7,22,209,913,5.1
179,29,2,5,36,3491,973,12.4
180,52,1,19,89,397,3786,4.7
181,39,2,2,46,4004,3356,16
182,33,2,13,40,181,2699,7.2
183,24,1,7,21,0.52,803,6.3
184,47,1,29,129,20561,12076,25.3
185,41,3,2,15,1961,1984,26.3
186,26,2,6,45,6049,5651,26
187,48,1,3,24,764,916,7
188,37,1,13,24,602,1534,8.9
189,37,1,20,41,899,4.39,12.9
190,46,4,7,73,556,247,1.1
191,30,1,8,27,3744,1737,20.3
192,47,1,15,30,2212,5138,24.5
193,37,3,16,75,22,53,0.1
194,37,2,0,31,118,161,0.9
195,40,2,15,73,1033,1449,3.4
196,35,3,5,30,1526,1654,10.6
197,21,2,0,16,0.15,938,6.8
198,52,1,24,64,3.93,2.47,10
199,47,3,16,221,15792,23104,17.6
200,41,3,0,26,99,343,1.7
201,47,1,27,113,2381,8015,9.2
202,38,2,0,21,612,354,4.6
203,22,3,1,25,1977,1473,13.8
204,39,1,8,21,276,564,4
205,45,1,8,27,416,286,2.6
206,51,1,10,44,4.96,848,13.2
207,33,2,10,26,31,775,3.1
208,43,1,25,242,1636,4656,2.6
209,40,1,22,95,633,2787,3.6
210,27,4,2,23,0.32,991,5.7
211,31,1,11,25,141,2134,9.1
212,34,1,10,48,264,2184,5.1
213,37,1,9,57,1357,1778,5.5
214,44,4,18,78,565,215,1
215,42,1,3,24,667,1877,10.6
216,25,1,3,16,1011,1837,17.8
217,39,2,7,68,1017,7823,13
218,26,4,1,64,7754,7158,23.3
219,36,1,19,45,0.92,4525,12.1
220,48,1,15,60,321,939,2.1
221,21,2,0,21,488,2137,12.5
222,40,3,17,116,2561,4399,6
223,31,2,9,30,602,1138,5.8
224,23,4,0,23,468,1073,6.7
225,31,1,6,21,729,1014,8.3
226,31,1,7,23,225,902,4.9
227,50,3,18,102,5782,8.6,14.1
228,29,1,1,31,156,2324,8
229,37,3,5,29,1405,5729,24.6
230,46,1,16,52,3032,3676,12.9
231,39,1,9,35,233,1517,5
232,34,1,14,28,1138,3622,17
233,27,1,11,56,4637,4827,16.9
234,23,1,6,15,1375,0.53,12.7
235,41,1,24,83,6589,5031,14
236,29,1,1,18,0.03,168,1.1
237,44,1,19,40,344,4016,10.9
238,24,2,0,15,321,2094,16.1
239,32,3,9,51,2686,9044,23
240,23,2,3,34,262,1234,4.4
241,31,1,4,28,291,2873,11.3
242,36,1,15,39,686,562,3.2
243,25,1,3,31,881,1.63,8.1
244,26,1,10,32,126,1378,4.7
245,43,1,4,26,751,1095,7.1
246,47,1,29,169,349,3369,2.2
247,43,1,10,69,411,4005,6.4
248,37,1,18,54,4593,1941,12.1
249,35,4,10,45,1.04,2785,8.5
250,28,4,1,26,377,2847,12.4
251,28,1,8,30,613,1547,7.2
252,26,3,2,37,205,5049,14.2
253,39,1,10,31,185,1303,4.8
254,34,2,3,21,1402,3449,23.1
255,51,3,16,82,2605,1003,4.4
256,28,2,3,41,5897,4394,25.1
257,39,1,20,39,774,2424,8.2
258,23,1,3,19,279,1317,8.4
259,23,1,3,13,46,357,3.1
260,21,1,4,26,1421,893,8.9
261,40,1,3,23,409,1178,6.9
262,26,4,1,92,6506,5454,13
263,32,2,12,54,3196,4.58,14.4
264,29,3,3,50,259,941,2.4
265,43,1,25,64,951,9737,16.7
266,55,1,3,40,563,2637,8
267,30,1,12,40,1249,1551,7
268,38,3,15,63,5091,3351,13.4
269,40,1,2,28,185,1803,7.1
270,43,1,12,38,129,1239,3.6
271,35,2,1,24,591,2409,12.5
272,24,1,8,24,382,818,5
273,35,1,11,40,572,588,2.9
274,39,2,18,47,1565,2007,7.6
275,41,2,5,25,393,2157,10.2
276,28,1,2,17,199,226,2.5
277,24,2,2,28,1787,3057,17.3
278,40,3,3,55,1751,7324,16.5
279,29,1,8,27,402,2244,9.8
280,26,2,4,28,226,2434,9.5
281,27,1,5,26,0.13,182,1.2
282,50,1,30,150,13553,35197,32.5
283,41,1,15,120,2659,821,2.9
284,26,1,0,14,256,1214,10.5
285,48,1,22,100,3704,5396,9.1
286,35,2,1,24,417,1455,7.8
287,35,1,15,77,5501,2661,10.6
288,23,1,7,31,338,1708,6.6
289,39,2,20,101,341,1073,1.4
290,38,1,21,58,4584,4986,16.5
291,30,1,4,33,0.5,886,4.2
292,44,2,8,43,555,1595,5
293,33,1,0,23,77,0.13,0.9
294,34,1,15,39,4373,5.26,24.7
295,27,2,6,34,238,1258,4.4
296,30,1,1,22,1139,1171,10.5
297,27,2,1,20,377,1683,10.3
298,29,1,9,30,155,2305,8.2
299,25,4,1,34,133,2757,8.5
300,41,1,23,91,573,11894,13.7
301,42,2,11,73,2869,2095,6.8
302,38,3,12,64,895,2817,5.8
303,23,1,5,17,302,1041,7.9
304,33,1,2,24,1041,1263,9.6
305,31,1,2,22,1739,1869,16.4
306,37,2,6,62,1186,4084,8.5
307,40,1,10,45,2013,6447,18.8
308,31,1,3,16,3065,2103,32.3
309,35,2,3,40,1803,5077,17.2
310,38,1,6,41,266,3383,8.9
311,30,2,8,56,333,3251,6.4
312,30,1,1,17,746,1124,11
313,44,1,2,22,1092,1.02,9.6
314,29,2,3,15,147,243,2.6
315,39,1,19,45,916,749,3.7
316,26,1,0,17,142,708,5
317,36,1,5,27,724,1166,7
318,31,2,0,27,1089,2367,12.8
319,38,2,12,40,898,1142,5.1
320,38,1,0,23,898,965,8.1
321,41,3,13,91,2316,20616,25.2
322,41,2,2,30,113,1897,6.7
323,45,3,5,94,3612,6258,10.5
324,24,1,4,23,242,885,4.9
325,22,1,4,16,84,108,1.2
326,34,1,13,56,864,2552,6.1
327,25,1,0,18,514,2888,18.9
328,29,2,6,18,0.45,468,5.1
329,35,2,13,105,1418,577,1.9
330,39,1,19,48,1.93,4358,13.1
331,34,1,17,59,1808,2912,8
332,44,2,21,113,3192,11724,13.2
333,23,2,0,21,776,1618,11.4
334,46,1,6,31,1986,1796,12.2
335,41,4,9,47,437,1913,5
336,52,1,9,24,802,3806,19.2
337,23,1,1,17,12,0.26,1.6
338,48,1,28,70,4334,4066,12
339,35,1,10,24,1084,4028,21.3
340,53,2,16,44,1333,1131,5.6
341,39,3,11,39,2561,2.47,12.9
342,37,1,20,56,543,521,1.9
343,34,1,12,32,239,625,2.7
344,49,2,2,20,379,3001,16.9
345,39,1,23,75,3133,11042,18.9
346,42,2,7,41,941,945,4.6
347,28,2,1,16,574,1778,14.7
348,27,3,5,75,2207,2518,6.3
349,24,1,2,21,25,101,0.6
350,34,1,5,33,778,1631,7.3
351,47,1,31,136,14231,17185,23.1
352,26,4,1,27,312,471,2.9
353,35,1,17,42,93,1167,3
354,31,1,6,33,146,1.24,4.2
355,29,1,13,27,69,552,2.3
356,44,1,9,33,546,1.17,5.2
357,40,2,13,102,6227,13051,18.9
358,36,4,1,30,324,3126,11.5
359,32,3,6,22,385,1089,6.7
360,21,1,1,18,159,2955,17.3
361,42,4,15,186,2404,4292,3.6
362,37,2,4,20,174,4166,21.7
363,24,1,6,21,108,984,5.2
364,24,4,0,29,0.59,1324,6.6
365,46,3,4,73,2223,1719,5.4
366,28,1,2,16,871,1561,15.2
367,41,1,16,68,448,3224,5.4
368,46,5,15,126,477,3429,3.1
369,51,2,22,120,4.14,4.98,7.6
370,36,1,17,54,727,1649,4.4
371,25,1,1,20,472,868,6.7
372,27,2,3,33,1633,2723,13.2
373,43,1,23,72,1182,4.29,7.6
374,53,1,6,27,594,1134,6.4
375,32,1,4,16,894,3666,28.5
376,36,1,0,25,2778,2147,19.7
377,29,2,9,30,3646,2864,21.7
378,35,1,18,42,205,2903,7.4
379,32,2,0,18,296,748,5.8
380,25,2,1,14,233,1153,9.9
381,42,1,2,30,1472,1438,9.7
382,25,1,9,20,105,595,3.5
383,20,3,0,17,44,347,2.3
384,50,1,4,23,141,2734,12.5
385,46,2,22,144,3325,12659,11.1
386,33,1,15,32,491,1941,7.6
387,43,1,19,79,782,5143,7.5
388,30,2,4,21,492,3351,18.3
389,34,1,3,36,624,1068,4.7
390,37,1,3,25,276,649,3.7
391,38,1,4,19,1245,1339,13.6
392,32,2,11,57,5.44,8126,23.8
393,39,1,15,39,0.14,562,1.8
394,31,1,7,41,2996,9591,30.7
395,25,1,5,22,403,1995,10.9
396,31,2,12,44,1867,2357,9.6
397,29,2,0,23,1242,598,8
398,45,2,21,132,2558,1402,3
399,39,1,4,38,1178,1292,6.5
400,34,1,4,23,617,671,5.6
401,24,2,3,24,2173,2411,19.1
402,30,1,10,19,336,0.5,4.4
403,30,1,0,19,624,2.53,16.6
404,27,1,0,18,583,1721,12.8
405,31,1,5,25,1177,2348,14.1
406,47,3,9,52,2.54,7912,20.1
407,47,2,4,33,1195,1148,7.1
408,45,2,15,51,1551,7.68,18.1
409,31,4,7,97,1827,3993,6
410,45,1,7,29,739,1.03,6.1
411,29,1,12,40,1632,1048,6.7
412,36,2,12,60,1721,3019,7.9
413,29,2,10,44,3703,4261,18.1
414,39,1,2,22,1916,3166,23.1
415,22,2,0,35,781,2369,9
416,46,1,14,35,1349,2221,10.2
417,38,1,21,65,2533,8387,16.8
418,37,1,1,24,1801,1823,15.1
419,42,1,12,51,2412,8502,21.4
420,36,1,4,25,144,856,4
421,34,1,18,53,0.84,4725,10.5
422,38,3,12,63,5715,4365,16
423,27,1,11,21,915,1479,11.4
424,35,2,9,30,0.65,1.63,7.6
425,48,1,10,70,10679,9061,28.2
426,45,2,18,35,548,5542,17.4
427,43,1,4,29,53,1281,4.6
428,54,1,9,28,1558,2586,14.8
429,35,3,7,38,1383,4355,15.1
430,28,1,4,19,287,492,4.1
431,39,1,16,52,4.16,6.24,20
432,43,1,8,32,1234,4846,19
433,32,2,2,15,119,1246,9.1
434,22,3,0,18,478,908,7.7
435,41,3,18,71,6566,4581,15.7
436,34,2,4,25,0.57,0.88,5.8
437,34,2,9,27,295,164,1.7
438,31,1,1,24,217,863,4.5
439,55,1,19,78,4405,7763,15.6
440,40,1,21,46,967,1885,6.2
441,41,1,13,44,71,677,1.7
442,43,2,10,37,676,2469,8.5
443,36,1,6,26,0.03,2128,8.3
444,51,2,31,249,4273,15149,7.8
445,40,1,17,55,2126,4144,11.4
446,27,3,5,42,2708,5.65,19.9
447,36,2,11,49,273,364,1.3
448,38,1,5,54,1.5,4224,10.6
449,47,1,17,43,588,1.82,5.6
450,33,1,13,42,228,1284,3.6
451,41,3,12,86,4991,17799,26.5
452,33,1,9,29,1349,2653,13.8
453,21,3,0,26,1.53,472,7.7
454,34,1,0,21,187,1325,7.2
455,51,2,27,166,821,18269,11.5
456,36,2,0,30,329,2581,9.7
457,23,2,0,17,2044,2665,27.7
458,34,1,4,28,1058,1574,9.4
459,29,1,7,22,551,1583,9.7
460,46,3,9,60,1607,7574,15.3
461,45,3,2,39,459,1452,4.9
462,41,3,17,176,11359,5009,9.3
463,28,1,4,16,1085,2723,23.8
464,37,1,6,29,1716,3011,16.3
465,25,1,8,35,77,938,2.9
466,48,3,0,19,0.85,1202,10.8
467,37,3,12,83,0.32,3083,4.1
468,32,1,3,23,53,1373,6.2
469,31,1,15,60,804,2076,4.8
470,48,4,14,59,4936,4799,16.5
471,45,1,22,91,1256,9391,11.7
472,41,2,6,36,1486,3518,13.9
473,39,1,19,46,2516,1.67,9.1
474,41,1,19,96,2254,5234,7.8
475,50,2,15,60,468,192,1.1
476,22,3,0,23,373,1559,8.4
477,43,2,6,54,622,4562,9.6
478,33,1,8,27,777,789,5.8
479,29,1,11,32,927,993,6
480,24,1,3,21,2682,3387,28.9
481,27,1,6,52,1902,5274,13.8
482,37,4,1,33,2694,2619,16.1
483,34,2,8,78,2157,2055,5.4
484,22,1,1,17,806,2356,18.6
485,41,1,4,25,1.06,1464,10.1
486,32,2,7,32,433,943,4.3
487,35,1,15,40,1214,6186,18.5
488,41,1,24,100,5.06,6.44,11.5
489,21,2,1,16,242,2638,18
490,23,1,2,25,124,1001,4.5
491,25,1,6,22,2262,2182,20.2
492,40,1,12,89,2772,12714,17.4
493,38,1,11,35,1266,1534,8
494,49,2,14,63,936,9018,15.8
495,40,1,13,28,965,687,5.9
496,29,2,1,25,569,2031,10.4
497,25,1,3,18,352,2582,16.3
498,33,1,14,72,15017,14719,41.3
499,37,2,11,47,1597,2915,9.6
500,24,1,1,18,239,823,5.9
501,29,2,4,37,1.16,1282,6.6
502,28,2,0,29,2148,1709,13.3
503,37,2,15,108,5251,7493,11.8
504,47,2,27,107,1638,4889,6.1
505,31,2,2,26,283,1485,6.8
506,28,3,5,44,773,3055,8.7
507,39,2,15,32,422,1146,4.9
508,33,2,2,35,2124,5891,22.9
509,41,2,19,68,1507,2437,5.8
510,29,2,1,29,2.33,3818,21.2
511,31,1,2,22,1092,1702,12.7
512,28,4,0,38,636,3316,10.4
513,35,1,0,34,1.37,2404,11.1
514,54,1,25,120,14596,17204,26.5
515,39,1,19,53,0.19,1771,3.7
516,46,1,9,31,1617,2661,13.8
517,23,2,3,22,1274,1234,11.4
518,28,2,6,38,774,1962,7.2
519,24,1,3,15,73,1622,11.3
520,41,2,7,63,4638,5064,15.4
521,43,2,9,60,4039,8201,20.4
522,27,3,3,35,1601,3054,13.3
523,33,4,4,22,566,644,5.5
524,28,1,2,18,1939,725,14.8
525,48,1,13,38,722,3382,10.8
526,35,3,1,20,853,727,7.9
527,31,1,11,28,345,999,4.8
528,42,2,14,48,1201,2927,8.6
529,29,1,1,18,1981,2627,25.6
530,36,1,4,17,521,2.42,17.3
531,29,1,4,24,867,1005,7.8
532,31,1,12,31,2057,5.29,23.7
533,43,4,18,446,16031,12959,6.5
534,41,2,13,93,9542,4129,14.7
535,31,1,9,28,48,624,2.4
536,31,1,6,45,585,2.7,7.3
537,28,2,2,23,187,1285,6.4
538,35,1,7,29,264,1157,4.9
539,38,1,5,21,0.45,1.44,9
540,40,1,14,43,2793,3657,15
541,39,1,20,116,2.24,2516,4.1
542,38,2,8,38,29,199,0.6
543,27,3,4,40,284,956,3.1
544,49,1,11,39,2458,1481,10.1
545,38,1,18,45,535,2615,7
546,43,1,16,89,159,197,0.4
547,36,2,9,49,818,3396,8.6
548,37,1,4,23,0.87,1982,12.4
549,46,3,22,99,827,1.45,2.3
550,22,2,0,20,207,913,5.6
551,47,1,13,51,3739,8399,23.8
552,47,3,16,266,2192,3128,2
553,30,4,2,25,1.77,0.73,10
554,51,2,19,159,1068,3384,2.8
555,28,1,10,42,1047,2565,8.6
556,50,1,6,21,1317,1392,12.9
557,43,1,24,254,7002,12556,7.7
558,46,2,9,15,15,0.63,4.3
559,29,1,7,20,1006,2954,19.8
560,26,1,1,21,608,421,4.9
561,45,1,14,46,1262,1084,5.1
562,39,1,22,52,1155,509,3.2
563,30,2,10,22,1.41,2132,16.1
564,41,3,7,56,374,7746,14.5
565,25,2,4,27,549,801,5
566,34,1,16,48,1474,2174,7.6
567,44,3,7,78,3153,5037,10.5
568,25,1,4,23,252,944,5.2
569,39,1,20,67,3834,16668,30.6
570,26,1,4,20,319,761,5.4
571,31,1,8,41,134,5032,12.6
572,40,3,5,220,8166,27034,16
573,42,1,6,31,1025,2571,11.6
574,23,1,1,21,1.21,554,8.4
575,34,1,9,48,0.42,4044,9.3
576,28,4,0,29,1425,5593,24.2
577,29,1,6,21,1.11,2691,18.1
578,29,2,3,26,538,1048,6.1
579,24,2,2,26,888,1634,9.7
580,53,1,9,50,2016,3584,11.2
581,39,1,19,60,9593,6667,27.1
582,28,4,2,41,459,566,2.5
583,38,1,16,37,83,3099,8.6
584,39,1,12,46,561,1739,5
585,38,1,18,44,606,1374,4.5
586,34,4,6,27,1982,7549,35.3
587,31,1,11,45,2739,4911,17
588,40,1,2,32,854,0.33,3.7
589,32,1,8,26,326,0.74,4.1
590,35,2,12,64,1.45,8.15,15
591,29,2,3,32,1071,1809,9
592,44,2,12,86,1476,9704,13
593,48,2,9,44,2134,462,5.9
594,41,2,6,36,4514,2506,19.5
595,28,1,0,28,2284,7.04,33.3
596,29,1,3,23,1104,1035,9.3
597,24,1,1,16,878,274,7.2
598,25,1,9,18,66,0.15,1.2
599,43,2,16,83,259,3144,4.1
600,45,1,12,37,1343,2172,9.5
601,35,1,13,35,432,1143,4.5
602,34,1,13,51,1875,3021,9.6
603,29,1,2,14,587,1429,14.4
604,32,2,11,75,7759,9716,23.3
605,27,3,6,26,0.93,1774,10.4
606,39,1,16,57,1559,9499,19.4
607,37,4,2,29,2782,1684,15.4
608,31,4,1,29,1065,2154,11.1
609,28,1,4,28,437,3539,14.2
610,27,2,8,38,364,2258,6.9
611,31,1,8,27,674,784,5.4
612,31,1,9,26,0.31,0.86,4.5
613,32,1,0,20,263,337,3
614,29,2,9,36,127,377,1.4
615,31,2,9,53,1195,5.96,13.5
616,32,2,5,43,1806,4644,15
617,39,1,6,42,2541,5817,19.9
618,27,2,7,30,448,752,4
619,29,1,13,42,1458,1.65,7.4
620,31,1,11,34,298,2014,6.8
621,41,2,22,75,9877,7823,23.6
622,30,1,1,27,1275,2046,12.3
623,35,2,0,22,1.97,1.33,15
624,38,2,2,22,1209,3785,22.7
625,29,1,1,17,157,982,6.7
626,37,1,7,32,2697,3575,19.6
627,26,1,8,25,0.21,965,4.7
628,27,1,0,16,0.13,46,1.1
629,42,2,18,66,1641,4695,9.6
630,45,3,8,140,4184,15276,13.9
631,51,4,15,26,2012,1524,13.6
632,36,1,10,28,815,2321,11.2
633,48,1,17,66,1468,644,3.2
634,45,1,10,52,932,1876,5.4
635,47,1,16,110,5821,8039,12.6
636,26,1,6,22,721,1545,10.3
637,35,1,12,30,1899,2721,15.4
638,50,3,10,80,2479,7281,12.2
639,30,1,11,33,682,2.09,8.4
640,49,2,22,79,288,5479,7.3
641,36,1,1,16,433,1055,9.3
642,24,2,3,19,359,458,4.3
643,42,5,6,190,3157,11663,7.8
644,28,2,0,30,121,1319,4.8
645,52,2,12,76,995,4857,7.7
646,39,2,9,56,4765,5707,18.7
647,40,2,15,138,1222,4436,4.1
648,29,2,0,22,1039,1799,12.9
649,40,1,8,28,534,474,3.6
650,27,1,10,34,851,1359,6.5
651,24,3,2,16,0.27,754,6.4
652,26,2,5,28,1024,1.16,7.8
653,40,3,16,116,1614,12422,12.1
654,50,2,16,71,1663,6218,11.1
655,30,1,0,20,622,458,5.4
656,26,2,6,30,144,156,1
657,35,1,10,28,0.11,254,1.3
658,37,3,16,50,7.32,10.98,36.6
659,52,5,9,70,1329,5251,9.4
660,24,1,5,46,0.53,1218,3.8
661,28,1,3,26,432,2168,10
662,29,2,6,57,453,801,2.2
663,35,1,11,77,1.1,2519,4.7
664,54,1,18,114,3295,6395,8.5
665,32,1,10,32,1168,2448,11.3
666,32,1,11,53,89,1.66,3.3
667,36,1,14,81,1785,4047,7.2
668,31,1,12,24,442,1142,6.6
669,28,1,11,24,107,469,2.4
670,34,1,10,33,2502,897,10.3
671,53,4,7,61,1875,2944,7.9
672,50,1,8,47,399,2844,6.9
673,52,4,13,234,7387,10631,7.7
674,30,2,4,15,0.35,625,6.5
675,26,2,0,28,1271,1333,9.3
676,42,2,21,121,1365,2386,3.1
677,27,1,6,43,883,1224,4.9
678,41,1,14,52,926,2.87,7.3
679,27,1,10,31,1362,4001,17.3
680,32,1,12,33,795,2901,11.2
681,37,1,12,44,2995,3473,14.7
682,29,1,3,17,0.47,1.06,9
683,27,1,9,45,2852,5158,17.8
684,50,3,25,94,1734,3248,5.3
685,21,3,0,24,833,1015,7.7
686,41,4,14,44,353,395,1.7
687,23,2,1,18,885,2481,18.7
688,45,2,9,69,707,3916,6.7
689,45,2,2,29,443,1123,5.4
690,33,1,6,21,567,1008,7.5
691,21,1,1,16,141,867,6.3
692,40,1,6,36,391,365,2.1
693,40,2,3,28,553,2107,9.5
694,56,1,11,59,4673,4177,15
695,26,1,2,22,237,1171,6.4
696,29,1,6,46,1.17,1314,5.4
697,29,2,6,65,1985,9975,18.4
698,39,1,13,27,966,1194,8
699,27,2,1,23,285,2567,12.4
700,25,1,1,15,371,1339,11.4
701,36,5,5,20,729,891,8.1
702,35,1,7,39,1702,4577,16.1
703,25,2,4,33,553,1163,5.2
704,21,2,2,20,291,609,4.5
705,23,1,2,16,805,731,9.6
706,32,1,14,73,3752,2672,8.8
707,34,1,0,20,2049,1371,17.1
708,38,1,5,20,91,208,1.5
709,39,1,22,73,3727,6712,14.3
710,46,1,1,21,1377,1731,14.8
711,35,2,10,98,4875,8159,13.3
712,33,4,9,28,377,827,4.3
713,30,2,12,68,2857,10811,20.1
714,54,3,21,118,9.6,7392,14.4
715,42,2,5,41,355,1039,3.4
716,28,1,9,22,5283,811,27.7
717,35,1,9,34,398,1302,5
718,41,3,16,135,1277,4663,4.4
719,41,1,16,49,431,353,1.6
720,53,4,5,78,6936,6558,17.3
721,28,1,4,26,1295,2215,13.5
